,timestamp,value
52355,2008-12-26 18:00:00,8818.17
52356,2008-12-26 18:30:00,8653.8
52357,2008-12-26 19:00:00,8529.87
52358,2008-12-26 19:30:00,8554.22
52359,2008-12-26 20:00:00,8666.69
52360,2008-12-26 20:30:00,8541.77
52361,2008-12-26 21:00:00,8314.51
52362,2008-12-26 21:30:00,8284.41
52363,2008-12-26 22:00:00,8136.3
52364,2008-12-26 22:30:00,8101.63
52365,2008-12-26 23:00:00,7946.64
52366,2008-12-26 23:30:00,7734.8
52367,2008-12-27 00:00:00,7523.63
52368,2008-12-27 00:30:00,7310.2
52369,2008-12-27 01:00:00,7052.11
52370,2008-12-27 01:30:00,6721.28
52371,2008-12-27 02:00:00,6448.83
52372,2008-12-27 02:30:00,6216.38
52373,2008-12-27 03:00:00,6127.89
52374,2008-12-27 03:30:00,6052.25
52375,2008-12-27 04:00:00,6043.83
52376,2008-12-27 04:30:00,6082.85
52377,2008-12-27 05:00:00,6060.69
52378,2008-12-27 05:30:00,6151.94
52379,2008-12-27 06:00:00,6372.01
52380,2008-12-27 06:30:00,6671.96
52381,2008-12-27 07:00:00,7044.32
52382,2008-12-27 07:30:00,7455.64
52383,2008-12-27 08:00:00,7825.72
52384,2008-12-27 08:30:00,8262.63
52385,2008-12-27 09:00:00,8454.65
52386,2008-12-27 09:30:00,8689.3
52387,2008-12-27 10:00:00,8747.39
52388,2008-12-27 10:30:00,8840.57
52389,2008-12-27 11:00:00,8946.59
52390,2008-12-27 11:30:00,8986.08
52391,2008-12-27 12:00:00,9080.44
52392,2008-12-27 12:30:00,9115.34
52393,2008-12-27 13:00:00,9154.96
52394,2008-12-27 13:30:00,9218.52
52395,2008-12-27 14:00:00,9208.4
52396,2008-12-27 14:30:00,9172.18
52397,2008-12-27 15:00:00,9108.75
52398,2008-12-27 15:30:00,9041.14
52399,2008-12-27 16:00:00,8990.63
52400,2008-12-27 16:30:00,8730.11
52401,2008-12-27 17:00:00,8660.38
52402,2008-12-27 17:30:00,8481.08
52403,2008-12-27 18:00:00,8370.81
52404,2008-12-27 18:30:00,8248.51
52405,2008-12-27 19:00:00,8177.51
52406,2008-12-27 19:30:00,8199.95
52407,2008-12-27 20:00:00,8158.02
52408,2008-12-27 20:30:00,8030.37
52409,2008-12-27 21:00:00,7798.43
52410,2008-12-27 21:30:00,7779.4
52411,2008-12-27 22:00:00,7645.08
52412,2008-12-27 22:30:00,7604.39
52413,2008-12-27 23:00:00,7427.28
52414,2008-12-27 23:30:00,7268.1
52415,2008-12-28 00:00:00,7132.32
52416,2008-12-28 00:30:00,6931.61
52417,2008-12-28 01:00:00,6723.16
52418,2008-12-28 01:30:00,6443.53
52419,2008-12-28 02:00:00,6224.86
52420,2008-12-28 02:30:00,6045.4
52421,2008-12-28 03:00:00,5977.55
52422,2008-12-28 03:30:00,5933.43
52423,2008-12-28 04:00:00,5940.94
52424,2008-12-28 04:30:00,5964.62
52425,2008-12-28 05:00:00,5952.12
52426,2008-12-28 05:30:00,6007.33
52427,2008-12-28 06:00:00,6167.02
52428,2008-12-28 06:30:00,6445.15
52429,2008-12-28 07:00:00,6781.61
52430,2008-12-28 07:30:00,7205.17
52431,2008-12-28 08:00:00,7547.78
52432,2008-12-28 08:30:00,7952.3
52433,2008-12-28 09:00:00,8192.99
52434,2008-12-28 09:30:00,8419.21
52435,2008-12-28 10:00:00,8591.1
52436,2008-12-28 10:30:00,8713.74
52437,2008-12-28 11:00:00,8825.01
52438,2008-12-28 11:30:00,8958.13
52439,2008-12-28 12:00:00,9066.63
52440,2008-12-28 12:30:00,9176.51
52441,2008-12-28 13:00:00,9237.73
52442,2008-12-28 13:30:00,9271.86
52443,2008-12-28 14:00:00,9331.4
52444,2008-12-28 14:30:00,9379.92
52445,2008-12-28 15:00:00,9353.19
52446,2008-12-28 15:30:00,9293.3
52447,2008-12-28 16:00:00,9311.5
52448,2008-12-28 16:30:00,9323.76
52449,2008-12-28 17:00:00,9362.47
52450,2008-12-28 17:30:00,9359.99
52451,2008-12-28 18:00:00,9261.24
52452,2008-12-28 18:30:00,9074.59
52453,2008-12-28 19:00:00,8911.92
52454,2008-12-28 19:30:00,8870.57
52455,2008-12-28 20:00:00,8979.9
52456,2008-12-28 20:30:00,8870.63
52457,2008-12-28 21:00:00,8619.65
52458,2008-12-28 21:30:00,8468.38
52459,2008-12-28 22:00:00,8179.38
52460,2008-12-28 22:30:00,8018.02
52461,2008-12-28 23:00:00,7695.37
52462,2008-12-28 23:30:00,7430.13
52463,2008-12-29 00:00:00,7233.44
52464,2008-12-29 00:30:00,7016.07
52465,2008-12-29 01:00:00,6802.51
52466,2008-12-29 01:30:00,6553.34
52467,2008-12-29 02:00:00,6322.1
